Date,Clicks,Impressions,CTR,Position
2025-12-19,0,4,0%,44
2025-12-20,0,8,0%,64.9
2025-12-21,0,3,0%,35.3
2025-12-22,0,8,0%,69.9
2025-12-23,0,5,0%,70.6
2025-12-24,0,28,0%,72
2025-12-25,0,7,0%,79.9
2025-12-26,0,4,0%,61.5
2025-12-27,0,7,0%,67.1
2025-12-28,0,1,0%,85
2025-12-29,0,24,0%,78.4
2025-12-30,0,11,0%,70.8
2025-12-31,1,18,5.56%,76.3
2026-01-01,0,56,0%,77.7
2026-01-02,0,34,0%,78.2
2026-01-03,0,12,0%,81.2
2026-01-04,0,16,0%,47.8
2026-01-05,0,21,0%,86.4
2026-01-06,0,7,0%,10.3
2026-01-07,0,5,0%,57
2026-01-08,0,43,0%,52.6
2026-01-09,0,15,0%,42.8
2026-01-10,0,28,0%,28.8
2026-01-11,0,17,0%,22.9
2026-01-12,0,12,0%,48.2
2026-01-13,0,8,0%,32.8
2026-01-14,0,20,0%,35.8
2026-01-15,0,43,0%,57.6
2026-01-16,0,27,0%,55
2026-01-17,0,22,0%,68.4
2026-01-18,0,19,0%,64.7
2026-01-19,0,25,0%,80.5
2026-01-20,0,15,0%,66.7
2026-01-21,4,81,4.94%,66.7
2026-01-22,5,59,8.47%,67.6
2026-01-23,3,47,6.38%,66.6
2026-01-24,0,49,0%,60.3
2026-01-25,0,47,0%,69
2026-01-26,1,48,2.08%,63.1
2026-01-27,0,73,0%,78
2026-01-28,0,37,0%,69
2026-01-29,0,95,0%,65.4
2026-01-30,0,51,0%,59.2
2026-01-31,0,59,0%,63.9
2026-02-01,0,58,0%,61
2026-02-02,0,54,0%,62.9
2026-02-03,0,78,0%,51.2
2026-02-04,0,64,0%,52.7
2026-02-05,0,89,0%,65.2
2026-02-06,1,42,2.38%,51.9
2026-02-07,0,14,0%,63.7
2026-02-08,0,62,0%,67
2026-02-09,1,51,1.96%,56.2
2026-02-10,0,71,0%,64.6
2026-02-11,0,46,0%,63.4
2026-02-12,0,61,0%,67.6
2026-02-13,0,60,0%,51.9
2026-02-14,2,42,4.76%,64.3
2026-02-15,0,60,0%,53.5
2026-02-16,1,52,1.92%,59.8
2026-02-17,0,48,0%,60.1
2026-02-18,0,49,0%,55.7
2026-02-19,0,91,0%,51.6
2026-02-20,0,41,0%,50.2
2026-02-21,0,55,0%,68.4
2026-02-22,0,48,0%,61.5
2026-02-23,1,59,1.69%,50.2
2026-02-24,0,17,0%,51.9
2026-02-25,0,10,0%,37.6
2026-02-26,0,28,0%,59.1
2026-02-27,0,9,0%,64.7
2026-02-28,0,5,0%,50.2
2026-03-01,0,4,0%,54.2
2026-03-02,0,8,0%,51.2
2026-03-03,0,7,0%,45
2026-03-04,0,14,0%,30.3
2026-03-05,0,33,0%,36.2
2026-03-06,0,2,0%,78.5
2026-03-07,0,5,0%,28.4
2026-03-08,0,9,0%,81.2
2026-03-09,0,11,0%,51.3
2026-03-10,0,7,0%,48.7
2026-03-11,0,12,0%,29.2
2026-03-12,0,37,0%,36.5
2026-03-13,0,4,0%,36.2
2026-03-14,0,3,0%,24.3
2026-03-15,0,6,0%,44
2026-03-16,0,8,0%,56.6
2026-03-17,0,7,0%,37.4
2026-03-18,0,10,0%,51.5
2026-03-19,0,32,0%,54
2026-03-20,0,2,0%,110
2026-03-21,0,8,0%,52
2026-03-22,0,6,0%,51.2
2026-03-23,0,7,0%,83.6
2026-03-24,1,9,11.11%,55.8
2026-03-25,0,16,0%,60.6
2026-03-26,0,24,0%,43.2
2026-03-27,0,4,0%,46
2026-03-28,0,10,0%,38
2026-03-29,0,9,0%,40.2
2026-03-30,0,25,0%,46.4
2026-03-31,0,16,0%,46.1
2026-04-01,0,9,0%,30.4
2026-04-02,0,23,0%,53.5
2026-04-03,0,17,0%,46.6
2026-04-04,0,14,0%,50.6
2026-04-05,0,10,0%,48.4
2026-04-06,0,24,0%,61.2
2026-04-07,0,23,0%,47.7
2026-04-08,0,16,0%,48.1
2026-04-09,0,31,0%,60.8
2026-04-10,0,17,0%,59.1
2026-04-11,0,23,0%,55.5
2026-04-12,0,15,0%,64.2
2026-04-13,0,30,0%,57.7
2026-04-14,0,17,0%,61.5
2026-04-15,0,17,0%,48.2
2026-04-16,0,20,0%,66
2026-04-17,0,21,0%,53.6
2026-04-18,0,16,0%,58.8
2026-04-19,0,17,0%,62.4
2026-04-20,0,23,0%,62.5
2026-04-21,0,28,0%,67.3
2026-04-22,0,39,0%,59.7
2026-04-23,0,65,0%,49.6
2026-04-24,0,35,0%,53.1
2026-04-25,0,44,0%,62
2026-04-26,0,41,0%,60.8
2026-04-27,0,34,0%,71.7
2026-04-28,0,35,0%,64.8
2026-04-29,1,34,2.94%,61.6
2026-04-30,0,36,0%,38.1
2026-05-01,0,12,0%,41.5
2026-05-02,0,14,0%,71.2
2026-05-03,0,19,0%,59.7
2026-05-04,0,21,0%,67.9
2026-05-05,0,18,0%,72.7
2026-05-06,0,29,0%,49.7
2026-05-07,0,31,0%,46.3
2026-05-08,0,26,0%,48.8
2026-05-09,0,26,0%,46.8
2026-05-10,0,35,0%,49.6
2026-05-11,0,23,0%,51.4
2026-05-12,0,19,0%,54.4
2026-05-13,0,32,0%,52.6
2026-05-14,0,36,0%,39.3
2026-05-15,0,24,0%,36.5
2026-05-16,0,26,0%,36.4
2026-05-17,0,19,0%,32
2026-05-18,0,36,0%,33.8
2026-05-19,0,28,0%,29.7
2026-05-20,0,31,0%,31.7
2026-05-21,0,44,0%,22.9
2026-05-22,0,28,0%,23.2
2026-05-23,0,15,0%,29.5
2026-05-24,0,18,0%,26.6
2026-05-25,0,24,0%,22
2026-05-26,0,19,0%,20.7
2026-05-27,0,22,0%,25
2026-05-28,0,37,0%,21.6
2026-05-29,0,33,0%,25.1
2026-05-30,0,24,0%,27.6
2026-05-31,0,19,0%,25
2026-06-01,0,21,0%,34
2026-06-02,0,8,0%,39.5
2026-06-03,0,27,0%,28.6
2026-06-04,0,50,0%,18.6
2026-06-05,0,70,0%,15.5
2026-06-06,0,73,0%,21
2026-06-07,0,87,0%,13.5
2026-06-08,0,74,0%,15.4
2026-06-09,0,81,0%,14.6
2026-06-10,0,64,0%,14.4
2026-06-11,0,96,0%,13.5
2026-06-12,0,67,0%,14.9
2026-06-13,0,89,0%,13.1
2026-06-14,0,85,0%,15.7
2026-06-15,0,65,0%,15
2026-06-16,0,48,0%,14.6
2026-06-17,0,53,0%,18.7
2026-06-18,0,38,0%,18.2
2026-06-19,0,25,0%,20.1
2026-06-20,0,27,0%,22.8
2026-06-21,0,34,0%,14.7
2026-06-22,0,26,0%,17.4
2026-06-23,0,29,0%,12.4
2026-06-24,0,34,0%,14.1
2026-06-25,0,37,0%,17.9
2026-06-26,0,24,0%,18.7
2026-06-27,0,32,0%,20.8
2026-06-28,0,82,0%,12.2
2026-06-29,0,134,0%,11.5
2026-06-30,0,134,0%,12.8
2026-07-01,0,216,0%,26.7
2026-07-02,1,317,0.32%,33.6
2026-07-03,0,280,0%,34
2026-07-04,0,319,0%,38.9
